report_id,operator,engaged,incident_month,municipality,state,metro,version,severity
30270-12011,Waymo LLC,True,2025-10-01,Mountain View,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-12007,Waymo LLC,True,2025-10-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-11998,Waymo LLC,True,2025-10-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-11996,Waymo LLC,True,2025-10-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-11997,Waymo LLC,True,2025-10-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Unknown
30270-11994,Waymo LLC,True,2025-10-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-11995,Waymo LLC,True,2025-10-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-11992,Waymo LLC,True,2025-10-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-11987,Waymo LLC,True,2025-10-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-11962,Waymo LLC,True,2025-10-01,Mountain View,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-11936,Waymo LLC,True,2025-10-01,San Mateo,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-11951,Waymo LLC,True,2025-10-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-11940,Waymo LLC,True,2025-10-01,Burlingame,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-11930,Waymo LLC,True,2025-10-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-11931,Waymo LLC,True,2025-10-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-11929,Waymo LLC,True,2025-10-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-11926,Waymo LLC,True,2025-10-01,South San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-11908,Waymo LLC,True,2025-10-01,Tempe,AZ,Phoenix,"5th Generation ADS, Version 10",Minor W/O Hospitalization
30270-11925,Waymo LLC,True,2025-10-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-12012,Waymo LLC,True,2025-10-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Minor W/O Hospitalization
30270-12013,Waymo LLC,True,2025-10-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-12050,Waymo LLC,True,2025-10-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Minor W/ Hospitalization
30270-13060,Waymo LLC,True,2025-11-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Minor W/ Hospitalization
30270-13062,Waymo LLC,True,2025-11-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13080,Waymo LLC,True,2025-11-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13055,Waymo LLC,True,2025-11-01,South San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13054,Waymo LLC,True,2025-11-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
