,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
alpha[0],-0.04,0.49,-0.87,0.69,3444,2351,1.00,0.009,0.012
alpha[1],-0.05,0.48,-0.84,0.66,3687,2316,1.00,0.008,0.0092
alpha[2],0.14,0.46,-0.52,0.95,2859,2407,1.00,0.0087,0.0091
alpha[3],0.04,0.48,-0.68,0.85,3584,2539,1.00,0.0084,0.0092
beta[0],-0.12,0.46,-0.84,0.62,3433,2062,1.00,0.0079,0.0057
beta[1],-0.11,0.45,-0.86,0.59,4103,2117,1.00,0.0071,0.0052
beta[2],-0.32,0.346,-0.86,0.25,3002,2061,1.00,0.0063,0.0045
beta[3],0.1,0.412,-0.56,0.77,3814,2460,1.00,0.0067,0.0046
beta[4],-0.14,0.43,-0.81,0.54,3006,2082,1.00,0.0078,0.0056
beta[5],-0.56,0.4,-1.2,0.091,3117,2529,1.00,0.0071,0.0052
beta0,0.06,0.78,-1.2,1.3,2478,1954,1.00,0.016,0.011
gamma[0],1.74,0.69,0.67,2.9,2245,2050,1.00,0.014,0.01
gamma[1],-0.82,0.68,-1.9,0.25,2621,2152,1.00,0.013,0.0097
gamma[2],-0.9,0.79,-2.2,0.29,2558,2515,1.00,0.016,0.013
sigma_c,0.41,0.297,0.036,0.96,2439,1750,1.00,0.0055,0.0043
tau_cv,0.34,0.2,0.044,0.67,1350,1427,1.00,0.0051,0.0036
tau_v,1.01,0.269,0.61,1.5,2509,1720,1.00,0.0052,0.004
