,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
alpha[0],-0.07,0.46,-0.79,0.6,3482,2529,1.00,0.0082,0.01
alpha[1],-0.27,0.45,-1.1,0.28,2872,2342,1.00,0.0086,0.0097
alpha[2],0.14,0.36,-0.37,0.76,3194,2532,1.00,0.0066,0.0067
alpha[3],0.21,0.43,-0.32,1,2597,2235,1.00,0.0087,0.0092
beta[0],-0.09,0.454,-0.84,0.64,4352,1991,1.00,0.0069,0.0049
beta[1],-0.08,0.45,-0.81,0.61,4022,2064,1.00,0.0071,0.0051
beta[2],-0.21,0.377,-0.81,0.4,3468,2316,1.00,0.0065,0.0047
beta[3],0.06,0.44,-0.63,0.8,3801,2326,1.00,0.0072,0.0051
beta[4],-0.1,0.43,-0.77,0.58,3699,2163,1.00,0.007,0.0053
beta[5],-0.39,0.44,-1.1,0.31,2703,2313,1.00,0.0084,0.0059
beta0,0.08,0.72,-1.1,1.2,2115,1970,1.00,0.016,0.012
gamma[0],1.79,0.69,0.69,2.9,2091,1896,1.00,0.015,0.011
gamma[1],-0.83,0.68,-1.9,0.25,2635,2196,1.00,0.013,0.0098
gamma[2],-0.94,0.79,-2.3,0.24,3202,2413,1.00,0.014,0.011
tau_c,0.41,0.272,0.052,0.91,1728,1241,1.00,0.0059,0.0046
tau_cv,0.3,0.201,0.03,0.64,1389,1071,1.00,0.0049,0.0039
tau_v,1.023,0.262,0.63,1.5,3143,1833,1.00,0.0046,0.0034
