cell_id,city,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31
884898c901fffff,Austin,0.024817396,0.18196034,-0.12112213,-0.20096332,0.2289547,0.10408573,0.028762357,0.09236477,0.17338651,-0.15647374,0.05886607,0.04376016,-0.19865182,0.3217366,-0.12738691,-0.17175427,0.119115934,-0.16636428,0.16903096,0.12158041,-0.064468004,-0.29767674,0.11634353,0.0025591943,-0.09248446,-0.17794868,0.08956959,0.35002366,0.18661787,0.08138194,-0.33417195,-0.27306888
884898c903fffff,Austin,-0.028934317,0.24895708,-0.09985355,-0.116017155,0.14969112,0.14742628,0.08664581,0.07207734,0.09434598,-0.062062826,0.06633228,-0.055970296,-0.11681948,0.22575133,-0.11843857,-0.05925155,-0.03887795,-0.15190291,0.15827669,0.1321483,0.07598,-0.21487477,0.1896226,0.07059389,-0.11016364,-0.26216328,0.09512335,0.34166914,0.33159795,0.18514693,-0.4051046,-0.28194013
884898c905fffff,Austin,0.026900394,0.16080621,-0.101799764,-0.20297246,0.22298643,0.108884,0.024024222,0.08273486,0.15106244,-0.16892105,0.06549763,0.059367865,-0.19158128,0.31602442,-0.10331896,-0.17822486,0.13728283,-0.16480766,0.20401418,0.10565675,-0.08360613,-0.30542186,0.097778805,0.0064487606,-0.096078075,-0.18351346,0.100642726,0.35568267,0.17318335,0.06315375,-0.34799865,-0.26715943
884898c907fffff,Austin,-0.011316721,0.2097729,-0.17742425,-0.17006043,0.13958627,0.12096153,-0.037706915,0.086280294,0.20464754,-0.15083808,0.05795113,0.01911086,-0.18650956,0.28859577,-0.16302481,-0.21237376,0.08599021,-0.17357796,0.16875786,0.15525891,-0.056253273,-0.34112406,0.16539471,-0.022635944,-0.0498718,-0.15005095,0.092516415,0.3722616,0.19358437,0.063042544,-0.26761687,-0.26769635
884898c909fffff,Austin,0.023599368,0.17346793,-0.10585798,-0.21264756,0.24565208,0.09570461,0.025913984,0.08166398,0.16507132,-0.1502483,0.06794781,0.032960847,-0.18823522,0.31612697,-0.10261797,-0.16193624,0.13486977,-0.18167806,0.1572892,0.11760442,-0.05589014,-0.28309244,0.11712189,0.05323471,-0.10432518,-0.18604785,0.06705079,0.34167737,0.18484873,0.10433009,-0.36671388,-0.26940614
884898c90bfffff,Austin,-0.003162059,0.14283477,-0.11648032,-0.22405443,0.2348145,0.09517492,0.030227026,0.077113315,0.1707655,-0.15138562,0.035811026,0.044822764,-0.19220428,0.28373915,-0.14131267,-0.15094885,0.14312372,-0.13526714,0.16638659,0.11382888,-0.056624614,-0.2908481,0.09982398,0.04789231,-0.12558511,-0.20935205,0.08699382,0.3556445,0.18914479,0.080718555,-0.37418565,-0.2715719
884898c90dfffff,Austin,0.016667156,0.19529362,-0.10572032,-0.18758282,0.24124639,0.10754406,0.049333647,0.102137946,0.15420653,-0.13645089,0.06483241,0.038403492,-0.21271144,0.32598078,-0.1147911,-0.1476704,0.08996348,-0.17161882,0.16705595,0.1278746,-0.056083318,-0.28464288,0.10595616,0.02234022,-0.10594976,-0.1866909,0.101209275,0.35522,0.1898844,0.09916043,-0.34471303,-0.27036855
884898c915fffff,Austin,-0.023480222,0.16389705,-0.14614362,-0.19600224,0.20223849,0.13165718,0.0660873,0.08678913,0.15313959,-0.11724878,0.018470878,0.027135916,-0.16869904,0.26251376,-0.16801505,-0.12630543,0.08125448,-0.11881543,0.17351548,0.12144708,-0.036606893,-0.29176927,0.12023438,0.023328211,-0.10980249,-0.23250958,0.12195233,0.3830161,0.20130144,0.08497937,-0.36948988,-0.28955528
884898c921fffff,Austin,0.024628459,0.18107422,-0.1641667,-0.17130922,0.21891533,0.13224387,0.05234627,0.063604556,0.15093131,-0.10750674,0.06373984,0.013047834,-0.19237876,0.3361975,-0.13046467,-0.14760348,0.059161622,-0.16070664,0.17615286,0.12621565,-0.03738498,-0.28533173,0.1555739,0.05747945,-0.06818381,-0.19953577,0.0953459,0.34449968,0.20005046,0.119657844,-0.33060226,-0.2970124
884898c923fffff,Austin,0.0648025,0.2529495,-0.15092081,-0.098600194,0.20179056,0.09698275,-0.046298165,0.10841556,0.16787833,-0.09699838,0.054932814,-0.016305383,-0.25671962,0.34433717,-0.15384087,-0.119329765,0.019647218,-0.1623263,0.11357143,0.20867217,0.016430724,-0.284534,0.14683276,0.048699785,-0.114038385,-0.13047399,0.070228994,0.3047692,0.27092904,0.19599566,-0.26183704,-0.2747383
