city,version,period,exposure_million_miles,claims,lam_mean,lam_q025,lam_q500,lam_q975
Austin,"5th Generation ADS, Version 10",0,1.458,6,12.048276,9.372258,11.976906,15.090168
Austin,"5th Generation ADS, Version 10",1,1.458,13,12.048276,9.372258,11.976906,15.090168
Austin,"5th Generation ADS, Version 10",2,1.458,25,12.048276,9.372258,11.976906,15.090168
Austin,"5th Generation ADS, Version 10",3,1.458,27,12.048276,9.372258,11.976906,15.090168
Austin,"5th Generation ADS, Version 9",0,1.458,3,1.1099929,0.3276796,0.96767676,2.653671
Los Angeles,"5th Generation ADS, Version 10",0,3.674285714285714,8,9.81326,8.483032,9.785202,11.317203
Los Angeles,"5th Generation ADS, Version 10",1,3.674285714285714,46,9.81326,8.483032,9.785202,11.317203
Los Angeles,"5th Generation ADS, Version 10",2,3.674285714285714,69,9.81326,8.483032,9.785202,11.317203
Los Angeles,"5th Generation ADS, Version 10",3,3.674285714285714,59,9.81326,8.483032,9.785202,11.317203
Los Angeles,"5th Generation ADS, Version 10",4,3.674285714285714,2,9.81326,8.483032,9.785202,11.317203
Los Angeles,"5th Generation ADS, Version 9",0,3.674285714285714,1,0.5318047,0.1495336,0.48959485,1.207621
Los Angeles,"6th Generation ADS, Version 10",3,3.674285714285714,1,0.52891266,0.09578908,0.45410216,1.3619306
Phoenix,"5th Generation ADS, Version 10",0,9.324,14,3.6254625,3.0205772,3.619193,4.250482
Phoenix,"5th Generation ADS, Version 10",1,9.324,26,3.6254625,3.0205772,3.619193,4.250482
Phoenix,"5th Generation ADS, Version 10",2,9.324,55,3.6254625,3.0205772,3.619193,4.250482
Phoenix,"5th Generation ADS, Version 10",3,9.324,39,3.6254625,3.0205772,3.619193,4.250482
Phoenix,"5th Generation ADS, Version 9",0,9.324,1,0.26768988,0.084934264,0.24803832,0.57726556
San Francisco,"5th Generation ADS, Version 10",0,9.0925,17,7.0129876,6.218872,7.0019445,7.872171
San Francisco,"5th Generation ADS, Version 10",1,9.0925,65,7.0129876,6.218872,7.0019445,7.872171
San Francisco,"5th Generation ADS, Version 10",2,9.0925,103,7.0129876,6.218872,7.0019445,7.872171
San Francisco,"5th Generation ADS, Version 10",3,9.0925,69,7.0129876,6.218872,7.0019445,7.872171
