city,version,period,exposure_million_miles,claims,lam_mean,lam_q025,lam_q500,lam_q975
Austin,"5th Generation ADS, Version 10",0,1.458,6,12.1463995,9.432108,12.108536,15.122009
Austin,"5th Generation ADS, Version 10",1,1.458,13,12.1463995,9.432108,12.108536,15.122009
Austin,"5th Generation ADS, Version 10",2,1.458,25,12.1463995,9.432108,12.108536,15.122009
Austin,"5th Generation ADS, Version 10",3,1.458,27,12.1463995,9.432108,12.108536,15.122009
Austin,"5th Generation ADS, Version 9",0,1.458,3,1.1082137,0.32228076,0.9530878,2.7809885
Los Angeles,"5th Generation ADS, Version 10",0,3.674285714285714,8,9.831435,8.459421,9.794119,11.372031
Los Angeles,"5th Generation ADS, Version 10",1,3.674285714285714,46,9.831435,8.459421,9.794119,11.372031
Los Angeles,"5th Generation ADS, Version 10",2,3.674285714285714,69,9.831435,8.459421,9.794119,11.372031
Los Angeles,"5th Generation ADS, Version 10",3,3.674285714285714,59,9.831435,8.459421,9.794119,11.372031
Los Angeles,"5th Generation ADS, Version 10",4,3.674285714285714,2,9.831435,8.459421,9.794119,11.372031
Los Angeles,"5th Generation ADS, Version 9",0,3.674285714285714,1,0.5559936,0.14288616,0.50934416,1.23058
Los Angeles,"6th Generation ADS, Version 10",3,3.674285714285714,1,0.5368168,0.08237799,0.46146077,1.4627236
Phoenix,"5th Generation ADS, Version 10",0,9.324,14,3.614926,3.0407553,3.6094608,4.216564
Phoenix,"5th Generation ADS, Version 10",1,9.324,26,3.614926,3.0407553,3.6094608,4.216564
Phoenix,"5th Generation ADS, Version 10",2,9.324,55,3.614926,3.0407553,3.6094608,4.216564
Phoenix,"5th Generation ADS, Version 10",3,9.324,39,3.614926,3.0407553,3.6094608,4.216564
Phoenix,"5th Generation ADS, Version 9",0,9.324,1,0.25404912,0.07926504,0.23141173,0.5520153
San Francisco,"5th Generation ADS, Version 10",0,9.0925,17,7.01064,6.176952,7.0128784,7.8578095
San Francisco,"5th Generation ADS, Version 10",1,9.0925,65,7.01064,6.176952,7.0128784,7.8578095
San Francisco,"5th Generation ADS, Version 10",2,9.0925,103,7.01064,6.176952,7.0128784,7.8578095
San Francisco,"5th Generation ADS, Version 10",3,9.0925,69,7.01064,6.176952,7.0128784,7.8578095
