dgp,K,mean_total_claims,per_city_claims,p_win_vs_euclidean,p_win_vs_independent,mean_adv_vs_euclidean,mean_adv_vs_independent
structured,4,175.98375,43.9959375,0.61,0.82375,0.34202097242607793,0.8594824196009696
structured,6,261.3,43.550000000000004,0.745,0.90125,0.44968958656181335,2.389519691394253
structured,8,349.41625,43.67703125,0.8075,0.93625,0.9214512240598907,3.8041432248981146
structured,10,444.98875,44.498875,0.825,0.9525,1.1719179671155722,5.217029350204866
structured,12,521.77,43.48083333333333,0.83,0.9675,1.5794004443037415,6.382277374555535
structured,16,693.14125,43.321328125,0.86625,0.9875,2.32886173345207,9.018280663719128
structured,20,873.94875,43.6974375,0.91125,0.9925,3.005614826872182,11.856846961932971
structured,28,1201.6775,42.917053571428575,0.92375,0.99875,3.656808177365815,18.101600895915308
structured,40,1721.87875,43.046968750000005,0.92875,1.0,4.339239174318592,26.253019375824397
identity_null,4,171.5375,42.884375,0.41625,0.42125,-0.7242689324743614,-2.166945146747156
identity_null,6,257.64125,42.94020833333334,0.2,0.255,-3.4493801832283566,-5.841642345252588
identity_null,8,345.2225,43.1528125,0.095,0.1375,-8.597976012625557,-13.156690432925325
identity_null,10,431.90125,43.190125,0.0875,0.105,-10.481998520367924,-17.304167824338883
identity_null,12,514.9075,42.90895833333334,0.05125,0.05,-14.24439948539644,-23.702016524295928
identity_null,16,690.475,43.1546875,0.0375,0.0275,-17.5367041272611,-34.28746189111462
identity_null,20,864.66375,43.2331875,0.02625,0.0025,-21.755584115598804,-44.88851190731658
identity_null,28,1212.6875,43.310267857142854,0.01875,0.0,-29.496499972221482,-64.05462781443723
identity_null,40,1728.13125,43.203281249999996,0.0175,0.0,-35.704045111769794,-92.98193787427532
